cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas,data_base,carteira_ativa,ativo_problematico,Seção CNAE e ano,Saída de atividade/Total
Informação e comunicação,26556.0,19056.0,7500.0,25165.0,111243.0,137799.0,2017,21688121623.94,3469059634.74,Informação e comunicação (2017),0.18262106401352696
"Atividades financeiras, de seguros e serviços relacionados",18708.0,14337.0,4371.0,14475.0,71497.0,90205.0,2017,56954341350.58,9671013310.16,"Atividades financeiras, de seguros e serviços relacionados (2017)",0.16046782329139184
Atividades imobiliárias,17916.0,12997.0,4919.0,12350.0,71816.0,89732.0,2017,21364922527.75,3184519484.4700003,Atividades imobiliárias (2017),0.1376320599117372
"Atividades profissionais, científicas e técnicas",59469.0,45697.0,13772.0,43599.0,235818.0,295287.0,2017,17511756463.68,3022701083.47,"Atividades profissionais, científicas e técnicas (2017)",0.14764957482042892
Atividades administrativas e serviços complementares,52366.0,39058.0,13308.0,48777.0,236067.0,288433.0,2017,49985704058.81,3840006746.79,Atividades administrativas e serviços complementares (2017),0.16911033064871217
"Administração pública, defesa e seguridade social",33.0,19.0,14.0,31.0,145.0,178.0,2017,132490334776.27,2941728609.21,"Administração pública, defesa e seguridade social (2017)",0.17415730337078653
Educação,15940.0,12248.0,3692.0,13094.0,88631.0,104571.0,2017,8997484535.57,643406279.14,Educação (2017),0.12521636017633953
Saúde humana e serviços sociais,36466.0,30479.0,5987.0,17881.0,158993.0,195459.0,2017,17910420356.68,899327941.67,Saúde humana e serviços sociais (2017),0.0914821011056027
"Artes, cultura, esporte e recreação",9130.0,6778.0,2352.0,9005.0,41624.0,50754.0,2017,3171112974.71,315867288.34000003,"Artes, cultura, esporte e recreação (2017)",0.17742443945304803
Outras atividades de serviços,16186.0,11988.0,4198.0,18900.0,82567.0,98753.0,2017,18966917009.31,503604364.05,Outras atividades de serviços (2017),0.19138659078711534
Indústrias extrativas,1301.0,866.0,435.0,1657.0,8425.0,9726.0,2018,17724484501.97,445661041.06,Indústrias extrativas (2018),0.17036808554390295
Indústrias de transformação,42200.0,31357.0,10843.0,59579.0,340996.0,383196.0,2018,361393638420.45,25365408330.32,Indústrias de transformação (2018),0.15547918036722722
Eletricidade e gás,649.0,424.0,225.0,510.0,2135.0,2784.0,2018,151591589889.75998,3754502037.85,Eletricidade e gás (2018),0.18318965517241378
"Água, esgoto, atividades de gestão de resíduos e descontaminação",1640.0,1228.0,412.0,1749.0,9122.0,10762.0,2018,19925637984.35,597469108.52,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2018)",0.16251626091804497
Construção,50359.0,37246.0,13113.0,52712.0,185732.0,236091.0,2018,66516729720.52,18345819036.17,Construção (2018),0.22326984086644558
Comércio; reparação de veículos automotores e motocicletas,231724.0,174928.0,56796.0,320451.0,1559845.0,1791569.0,2018,262028005166.09,18067991533.78,Comércio; reparação de veículos automotores e motocicletas (2018),0.1788661223765314
"Transporte, armazenagem e correio",32731.0,24165.0,8566.0,40002.0,184621.0,217352.0,2018,138499859471.33,18026644379.73,"Transporte, armazenagem e correio (2018)",0.1840424748794582
Alojamento e alimentação,43654.0,36055.0,7599.0,55716.0,248592.0,292246.0,2018,13203453387.62,1967696277.81,Alojamento e alimentação (2018),0.19064760509981318
Informação e comunicação,29015.0,21412.0,7603.0,27338.0,110529.0,139544.0,2018,24799502302.06,4293589323.9900002,Informação e comunicação (2018),0.19590953391045118
"Atividades financeiras, de seguros e serviços relacionados",22922.0,17628.0,5294.0,15236.0,75296.0,98218.0,2018,48203916290.08,9155459765.37,"Atividades financeiras, de seguros e serviços relacionados (2018)",0.15512431529862145
Atividades imobiliárias,20225.0,14730.0,5495.0,14512.0,76702.0,96927.0,2018,19605904333.06,2763874739.24,Atividades imobiliárias (2018),0.14972092399434625
"Atividades profissionais, científicas e técnicas",68251.0,54036.0,14215.0,49842.0,247484.0,315735.0,2018,17350504598.85,4873450154.57,"Atividades profissionais, científicas e técnicas (2018)",0.1578602308898285
Atividades administrativas e serviços complementares,56542.0,43553.0,12989.0,53311.0,234175.0,290717.0,2018,56518793491.95,3773222837.52,Atividades administrativas e serviços complementares (2018),0.1833776490538909
"Administração pública, defesa e seguridade social",31.0,23.0,8.0,32.0,139.0,170.0,2018,138082657068.23,2680260704.94,"Administração pública, defesa e seguridade social (2018)",0.18823529411764706
Educação,17265.0,13697.0,3568.0,14580.0,89674.0,106939.0,2018,9595259026.38,668618789.8,Educação (2018),0.1363394084478067
Saúde humana e serviços sociais,44758.0,38279.0,6479.0,21013.0,174736.0,219494.0,2018,18189749712.9,716035681.22,Saúde humana e serviços sociais (2018),0.09573382415920254
"Artes, cultura, esporte e recreação",11677.0,9390.0,2287.0,9801.0,41061.0,52738.0,2018,3718779687.94,770948281.4799999,"Artes, cultura, esporte e recreação (2018)",0.18584322499905193
Outras atividades de serviços,16004.0,12192.0,3812.0,19259.0,78997.0,95001.0,2018,13664496292.14,399948763.71,Outras atividades de serviços (2018),0.20272418185071736
Organismos internacionais e outras instituições extraterritoriais,,,,,1.0,1.0,2018,161969.54,0.0,Organismos internacionais e outras instituições extraterritoriais (2018),
Indústrias extrativas,2171.0,1476.0,695.0,1162.0,8567.0,10738.0,2019,14640311063.42,251466237.4,Indústrias extrativas (2019),0.10821382007822686
Indústrias de transformação,56019.0,41457.0,14562.0,49981.0,334359.0,390378.0,2019,326153530293.45,24264842296.79,Indústrias de transformação (2019),0.12803231739493517
Eletricidade e gás,2277.0,1832.0,445.0,182.0,2686.0,4963.0,2019,152651139629.04,4654563516.78,Eletricidade e gás (2019),0.036671368124118475
"Água, esgoto, atividades de gestão de resíduos e descontaminação",2059.0,1556.0,503.0,1541.0,9252.0,11311.0,2019,19986766592.49,1159356737.7,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2019)",0.13623905932278313
Construção,75421.0,55199.0,20222.0,40467.0,195182.0,270603.0,2019,58275632191.28,15649490475.949999,Construção (2019),0.14954379663196637
Comércio; reparação de veículos automotores e motocicletas,287628.0,216412.0,71216.0,280574.0,1505821.0,1793449.0,2019,289216737894.74,17412423073.47,Comércio; reparação de veículos automotores e motocicletas (2019),0.15644381301057347
"Transporte, armazenagem e correio",41302.0,30026.0,11276.0,33817.0,183609.0,224911.0,2019,148228312057.99,17672051133.85,"Transporte, armazenagem e correio (2019)",0.15035725242429226
Alojamento e alimentação,51687.0,42974.0,8713.0,53128.0,238856.0,290543.0,2019,15356279426.25,2218587290.34,Alojamento e alimentação (2019),0.1828576148797252
Informação e comunicação,41162.0,31946.0,9216.0,23330.0,115782.0,156944.0,2019,25591754347.41,4617347870.08,Informação e comunicação (2019),0.14865174839433173
"Atividades financeiras, de seguros e serviços relacionados",44609.0,34547.0,10062.0,10400.0,87946.0,132555.0,2019,50492066279.72,9749350459.31,"Atividades financeiras, de seguros e serviços relacionados (2019)",0.07845799856663271
Atividades imobiliárias,40078.0,29339.0,10739.0,8441.0,90267.0,130345.0,2019,18898648267.06,2412039941.1800003,Atividades imobiliárias (2019),0.0647589090490621
"Atividades profissionais, científicas e técnicas",102808.0,80583.0,22225.0,41420.0,274699.0,377507.0,2019,17676730760.59,3892699792.41,"Atividades profissionais, científicas e técnicas (2019)",0.10971981976493152
Atividades administrativas e serviços complementares,73949.0,57276.0,16673.0,47351.0,245354.0,319303.0,2019,58305374365.78,3851234172.55,Atividades administrativas e serviços complementares (2019),0.14829487978503178
"Administração pública, defesa e seguridade social",51.0,33.0,18.0,20.0,152.0,203.0,2019,140630651388.23,4301813797.110001,"Administração pública, defesa e seguridade social (2019)",0.09852216748768473
Educação,21948.0,17561.0,4387.0,13861.0,93896.0,115844.0,2019,10700087367.91,846728242.18,Educação (2019),0.11965229101205069
Saúde humana e serviços sociais,61633.0,50931.0,10702.0,17339.0,202847.0,264480.0,2019,20583090063.5,735107424.39,Saúde humana e serviços sociais (2019),0.06555883242589232
"Artes, cultura, esporte e recreação",13802.0,11146.0,2656.0,9182.0,43472.0,57274.0,2019,4231223016.57,752689026.62,"Artes, cultura, esporte e recreação (2019)",0.16031707231902784
Outras atividades de serviços,18894.0,14704.0,4190.0,20079.0,74172.0,93066.0,2019,5980345909.75,496261130.31,Outras atividades de serviços (2019),0.21575011282315776
Organismos internacionais e outras instituições extraterritoriais,,,,1.0,,,2019,229070.35,86.24,Organismos internacionais e outras instituições extraterritoriais (2019),
Indústrias extrativas,1326.0,950.0,376.0,1261.0,9563.0,10889.0,2020,16251104021.55,470323064.2,Indústrias extrativas (2020),0.11580494076591055
Indústrias de transformação,52262.0,40940.0,11322.0,44900.0,346463.0,398725.0,2020,401133044151.4,23793281907.8,Indústrias de transformação (2020),0.1126089409994357
Eletricidade e gás,1288.0,1215.0,73.0,188.0,4791.0,6079.0,2020,161925748799.99,2832753745.91,Eletricidade e gás (2020),0.030926139167626255
"Água, esgoto, atividades de gestão de resíduos e descontaminação",2043.0,1585.0,458.0,1339.0,10079.0,12122.0,2020,22044188847.36,1117142350.59,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2020)",0.11046032007919485
Construção,55908.0,45230.0,10678.0,38123.0,232730.0,288638.0,2020,68109501838.27,13030512341.48,Construção (2020),0.13207893624540082
Comércio; reparação de veículos automotores e motocicletas,288012.0,226026.0,61986.0,248943.0,1540421.0,1828433.0,2020,378661199551.04,17021023103.32,Comércio; reparação de veículos automotores e motocicletas (2020),0.13615101018194267
"Transporte, armazenagem e correio",36589.0,28035.0,8554.0,32382.0,192450.0,229039.0,2020,177052978295.03,26060500502.71,"Transporte, armazenagem e correio (2020)",0.1413820353738883
Alojamento e alimentação,45255.0,36863.0,8392.0,50236.0,239959.0,285214.0,2020,25108219798.74,2972426531.84,Alojamento e alimentação (2020),0.17613441135428134
Informação e comunicação,36689.0,30165.0,6524.0,24295.0,132534.0,169223.0,2020,24602392625.31,5264806655.22,Informação e comunicação (2020),0.1435679547106481
"Atividades financeiras, de seguros e serviços relacionados",25560.0,22048.0,3512.0,12021.0,120356.0,145916.0,2020,73012772615.73,9673125961.47,"Atividades financeiras, de seguros e serviços relacionados (2020)",0.08238301488527645
Atividades imobiliárias,21668.0,18472.0,3196.0,9880.0,121783.0,143451.0,2020,21622921365.75,2047501981.14,Atividades imobiliárias (2020),0.06887369206209785
"Atividades profissionais, científicas e técnicas",85043.0,72301.0,12742.0,49717.0,328476.0,413519.0,2020,26173188185.11,4639693827.2699995,"Atividades profissionais, científicas e técnicas (2020)",0.12022905839876764
Atividades administrativas e serviços complementares,65190.0,52540.0,12650.0,50759.0,269391.0,334581.0,2020,75973035712.58,3670546153.55,Atividades administrativas e serviços complementares (2020),0.15170915264166226
"Administração pública, defesa e seguridade social",9.0,9.0,,17.0,167.0,176.0,2020,160708916392.17,7084628929.62,"Administração pública, defesa e seguridade social (2020)",0.09659090909090909
Educação,21071.0,17445.0,3626.0,15919.0,100440.0,121511.0,2020,14257527937.98,1044191088.55,Educação (2020),0.1310087152603468
Saúde humana e serviços sociais,49855.0,44855.0,5000.0,22873.0,242107.0,291962.0,2020,28460155227.3,953992774.13,Saúde humana e serviços sociais (2020),0.07834238702296874
"Artes, cultura, esporte e recreação",10529.0,8424.0,2105.0,10826.0,46139.0,56668.0,2020,5157963258.33,999618285.72,"Artes, cultura, esporte e recreação (2020)",0.19104256370438344
Outras atividades de serviços,21140.0,16602.0,4538.0,16340.0,76501.0,97641.0,2020,22531012496.48,616656305.67,Outras atividades de serviços (2020),0.16734773302198871
Indústrias extrativas,1715.0,1302.0,413.0,1053.0,9792.0,11507.0,2021,14153003776.76,1625135415.86,Indústrias extrativas (2021),0.09150951594681499
Indústrias de transformação,54776.0,44840.0,9936.0,40144.0,359813.0,414589.0,2021,423511160107.3,21644765861.18,Indústrias de transformação (2021),0.09682842525971504
Eletricidade e gás,1523.0,1471.0,52.0,265.0,5779.0,7302.0,2021,173859085873.32,2798324343.02,Eletricidade e gás (2021),0.03629142700629964
"Água, esgoto, atividades de gestão de resíduos e descontaminação",2554.0,2147.0,407.0,1398.0,10832.0,13386.0,2021,21853453115.81,365053727.38,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2021)",0.10443747198565666
Construção,60949.0,50961.0,9988.0,36561.0,251940.0,312889.0,2021,75209443758.56,10420950170.75,Construção (2021),0.11684974543688018
Comércio; reparação de veículos automotores e motocicletas,293685.0,240551.0,53134.0,227642.0,1597599.0,1891284.0,2021,456602517802.58,18347240214.1,Comércio; reparação de veículos automotores e motocicletas (2021),0.12036373172934366
"Transporte, armazenagem e correio",36326.0,28377.0,7949.0,30177.0,198548.0,234874.0,2021,189831817386.21,23817933600.68,"Transporte, armazenagem e correio (2021)",0.12848165399320488
Alojamento e alimentação,48907.0,41191.0,7716.0,45489.0,238968.0,287875.0,2021,27248609926.44,3947338117.82,Alojamento e alimentação (2021),0.1580165002171081
Informação e comunicação,47222.0,40598.0,6624.0,25305.0,143776.0,190998.0,2021,27125540931.3,5614261699.389999,Informação e comunicação (2021),0.13248829830678854
"Atividades financeiras, de seguros e serviços relacionados",29614.0,26213.0,3401.0,16233.0,128684.0,158298.0,2021,86396662671.29,9474746626.85,"Atividades financeiras, de seguros e serviços relacionados (2021)",0.1025470947200849
Atividades imobiliárias,27909.0,24401.0,3508.0,9695.0,135668.0,163577.0,2021,22332661176.11,1518937253.2,Atividades imobiliárias (2021),0.05926872359806085
"Atividades profissionais, científicas e técnicas",105994.0,91118.0,14876.0,52631.0,361564.0,467558.0,2021,30804336485.03,5605963770.44,"Atividades profissionais, científicas e técnicas (2021)",0.11256571377240898
Atividades administrativas e serviços complementares,75842.0,62672.0,13170.0,49478.0,286475.0,362317.0,2021,82542677791.06,4659625015.18,Atividades administrativas e serviços complementares (2021),0.13655997372466652
"Administração pública, defesa e seguridade social",18.0,14.0,4.0,11.0,174.0,192.0,2021,162686392918.14,1551400971.9,"Administração pública, defesa e seguridade social (2021)",0.057291666666666664
Educação,25899.0,21668.0,4231.0,15740.0,106174.0,132073.0,2021,14589871785.3,1323954679.94,Educação (2021),0.1191765160176569
Saúde humana e serviços sociais,70290.0,63936.0,6354.0,25074.0,267262.0,337552.0,2021,31570939208.2,1074412602.07,Saúde humana e serviços sociais (2021),0.07428188842015453
"Artes, cultura, esporte e recreação",13592.0,10958.0,2634.0,9414.0,47123.0,60715.0,2021,5838072651.86,1130877952.3700001,"Artes, cultura, esporte e recreação (2021)",0.15505229350242938
Outras atividades de serviços,20467.0,16885.0,3582.0,15725.0,81343.0,101810.0,2021,24344141583.79,1129582862.39,Outras atividades de serviços (2021),0.1544543757980552
