,data_base,modalidade,porte,curto_prazo,curto_prazo_deflacionado
0,2012-12,Capital de giro,Microempresa,22548500608.78,40842763541.77877
1,2012-12,Capital de giro,Empresa de pequeno porte,33262395494.99,60249157032.90783
2,2012-12,Cheque especial e conta garantida,Microempresa,5704846485.01,10333356530.97414
3,2012-12,Cheque especial e conta garantida,Empresa de pequeno porte,9197790117.91,16660228252.446674
4,2012-12,Comércio exterior,Microempresa,4958360792.96,8981225001.844992
5,2012-12,Comércio exterior,Empresa de pequeno porte,2966916248.22,5374062820.262496
6,2012-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,7548305540.28,13672468235.10342
7,2012-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,13037475185.99,23615162952.159073
8,2012-12,Habitacional,Microempresa,1911622610.95,3462578360.9641504
9,2012-12,Habitacional,Empresa de pequeno porte,1798477823.75,3257635874.110054
10,2012-12,Investimento,Microempresa,6615005990.38,11981955260.800749
11,2012-12,Investimento,Empresa de pequeno porte,8050388711.63,14581906277.195211
12,2012-12,Operações com recebíveis,Microempresa,7194546858.56,13031694711.443256
13,2012-12,Operações com recebíveis,Empresa de pequeno porte,14119899102.97,25575789286.486855
14,2012-12,Outros créditos,Microempresa,4420329977.51,8006673932.801483
15,2012-12,Outros créditos,Empresa de pequeno porte,5092124488.79,9223515125.434486
16,2012-12,Rural e agroindustrial,Microempresa,3063624700.2,5549233688.837793
17,2012-12,Rural e agroindustrial,Empresa de pequeno porte,705486964.54,1277869325.9672792
0,2013-12,Capital de giro,Microempresa,21878738562.46,37466155604.47565
1,2013-12,Capital de giro,Empresa de pequeno porte,35310742784.29,60467735828.96519
2,2013-12,Cheque especial e conta garantida,Microempresa,4650965151.97,7964526089.894875
3,2013-12,Cheque especial e conta garantida,Empresa de pequeno porte,9154927727.56,15677318224.23337
4,2013-12,Comércio exterior,Microempresa,3414168335.74,5846578483.55979
5,2013-12,Comércio exterior,Empresa de pequeno porte,2891734067.99,4951938076.721317
6,2013-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,7764111857.1,13295621323.78969
7,2013-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,17478953741.51,29931762236.351402
8,2013-12,Habitacional,Microempresa,1888731980.94,3234351289.999192
9,2013-12,Habitacional,Empresa de pequeno porte,3442697520.71,5895433168.682674
10,2013-12,Investimento,Microempresa,4341259719.61,7434172299.742609
11,2013-12,Investimento,Empresa de pequeno porte,7687665352.44,13164710822.216064
12,2013-12,Operações com recebíveis,Microempresa,7403265737.56,12677691874.824387
13,2013-12,Operações com recebíveis,Empresa de pequeno porte,15065716688.52,25799224399.23199
14,2013-12,Outros créditos,Microempresa,4069043433.12,6968016642.797818
15,2013-12,Outros créditos,Empresa de pequeno porte,5728934716.64,9810490624.43676
16,2013-12,Rural e agroindustrial,Microempresa,10164097607.38,17405467022.24318
17,2013-12,Rural e agroindustrial,Empresa de pequeno porte,1079726129.66,1848972557.0134213
0,2014-12,Capital de giro,Microempresa,19922616816.46,32017558733.722115
1,2014-12,Capital de giro,Empresa de pequeno porte,38681842693.32,62165436487.1752
2,2014-12,Cheque especial e conta garantida,Microempresa,4182026822.06,6720918774.620057
3,2014-12,Cheque especial e conta garantida,Empresa de pequeno porte,9425998175.25,15148484407.463999
4,2014-12,Comércio exterior,Microempresa,3480864993.51,5594084371.576381
5,2014-12,Comércio exterior,Empresa de pequeno porte,2419095478.78,3887718781.517116
6,2014-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,9317799381.23,14974598553.29292
7,2014-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,18885017309.8,30350036668.090645
8,2014-12,Habitacional,Microempresa,3603038717.29,5790429280.123327
9,2014-12,Habitacional,Empresa de pequeno porte,2338587018.15,3758333952.6801276
10,2014-12,Investimento,Microempresa,4423145140.12,7108419070.458909
11,2014-12,Investimento,Empresa de pequeno porte,7363791293.9,11834319880.133512
12,2014-12,Operações com recebíveis,Microempresa,6213008543.69,9984901471.194305
13,2014-12,Operações com recebíveis,Empresa de pequeno porte,13859251499.39,22273148300.50486
14,2014-12,Outros créditos,Microempresa,3207412994.23,5154620744.460511
15,2014-12,Outros créditos,Empresa de pequeno porte,6589949038.23,10590681049.963375
16,2014-12,Rural e agroindustrial,Microempresa,1749660150.55,2811871911.726189
17,2014-12,Rural e agroindustrial,Empresa de pequeno porte,910655927.15,1463511540.7955792
0,2015-12,Capital de giro,Microempresa,17215077487.78,25042852074.028835
1,2015-12,Capital de giro,Empresa de pequeno porte,32771339094.23,47672617087.38746
2,2015-12,Cheque especial e conta garantida,Microempresa,4268069308.5099998,6208779972.70647
3,2015-12,Cheque especial e conta garantida,Empresa de pequeno porte,9202203397.66,13386487432.676838
4,2015-12,Comércio exterior,Microempresa,4205645451.89,6117971702.552895
5,2015-12,Comércio exterior,Empresa de pequeno porte,2557992285.6,3721123094.5814705
6,2015-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,7927317915.85,11531905682.756874
7,2015-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,17587131477.12,25584080716.4911
8,2015-12,Habitacional,Microempresa,3683988755.13,5359115316.361174
9,2015-12,Habitacional,Empresa de pequeno porte,2583993201.98,3758946746.734982
10,2015-12,Investimento,Microempresa,3877380308.54,5640442894.924273
11,2015-12,Investimento,Empresa de pequeno porte,6071008094.92,8831523283.542255
12,2015-12,Operações com recebíveis,Microempresa,10151390111.83,14767273693.468636
13,2015-12,Operações com recebíveis,Empresa de pequeno porte,11471755653.85,16688015495.294579
14,2015-12,Outros créditos,Microempresa,4615162198.24,6713697589.233359
15,2015-12,Outros créditos,Empresa de pequeno porte,7533680859.94,10959280054.495378
16,2015-12,Rural e agroindustrial,Microempresa,893437712.77,1299687933.100502
17,2015-12,Rural e agroindustrial,Empresa de pequeno porte,1002807776.96,1458789066.4402401
0,2016-12,Capital de giro,Microempresa,14931779663.03,20302700748.64765
1,2016-12,Capital de giro,Empresa de pequeno porte,25257160450.56,34342093304.385246
2,2016-12,Cheque especial e conta garantida,Microempresa,3093772995.07,4206594841.3819275
3,2016-12,Cheque especial e conta garantida,Empresa de pequeno porte,7569351010.28,10292026261.523588
4,2016-12,Comércio exterior,Microempresa,2163856008.71,2942189209.8217177
5,2016-12,Comércio exterior,Empresa de pequeno porte,935696842.46,1272264486.3931057
6,2016-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,7412352914.55,10078556371.956057
7,2016-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,14802189003.81,20126496676.973732
8,2016-12,Habitacional,Microempresa,3992464173.58,5428542825.781498
9,2016-12,Habitacional,Empresa de pequeno porte,2294350281.32,3119621922.1977897
10,2016-12,Investimento,Microempresa,3055551375.42,4154625007.6852846
11,2016-12,Investimento,Empresa de pequeno porte,4846644297.15,6589969248.193993
12,2016-12,Operações com recebíveis,Microempresa,7212731173.93,9807131226.782866
13,2016-12,Operações com recebíveis,Empresa de pequeno porte,9180179317.01,12482265188.63307
14,2016-12,Outros créditos,Microempresa,5025988399.18,6833822942.5774765
15,2016-12,Outros créditos,Empresa de pequeno porte,7875686094.04,10708549253.07228
16,2016-12,Rural e agroindustrial,Microempresa,1408696059.6399999,1915400253.0242505
17,2016-12,Rural e agroindustrial,Empresa de pequeno porte,1231629437.93,1674643242.521818
0,2017-12,Capital de giro,Microempresa,15695013098.26,20758444948.90909
1,2017-12,Capital de giro,Empresa de pequeno porte,19960347159.92,26399835736.756977
2,2017-12,Cheque especial e conta garantida,Microempresa,4842750083.56,6405089335.162773
3,2017-12,Cheque especial e conta garantida,Empresa de pequeno porte,6473224534.05,8561577762.996691
4,2017-12,Comércio exterior,Microempresa,3052406826.13,4037156175.990613
5,2017-12,Comércio exterior,Empresa de pequeno porte,1279896218.43,1692808730.0253077
6,2017-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,5285325213.04,6990445422.701522
7,2017-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,11201515385.94,14815281709.39674
8,2017-12,Habitacional,Microempresa,2243592065.1800003,2967406403.6309457
9,2017-12,Habitacional,Empresa de pequeno porte,2009792214.71,2658179434.869592
10,2017-12,Investimento,Microempresa,4342807426.92,5743858149.785594
11,2017-12,Investimento,Empresa de pequeno porte,4117053425.65,5445272734.276844
12,2017-12,Operações com recebíveis,Microempresa,9514884279.08,12584519698.452484
13,2017-12,Operações com recebíveis,Empresa de pequeno porte,7875968608.66,10416866794.48073
14,2017-12,Outros créditos,Microempresa,5923391021.63,7834360230.448009
15,2017-12,Outros créditos,Empresa de pequeno porte,6344285651.76,8391041384.783183
16,2017-12,Rural e agroindustrial,Microempresa,826777879.25,1093508045.131204
17,2017-12,Rural e agroindustrial,Empresa de pequeno porte,2064022635.5800002,2729905351.8304944
0,2018-12,Capital de giro,Microempresa,6345185105.43,8065882861.908339
1,2018-12,Capital de giro,Empresa de pequeno porte,20564435683.75,26141133251.48372
2,2018-12,Cheque especial e conta garantida,Microempresa,1934454415.65,2459042952.8969364
3,2018-12,Cheque especial e conta garantida,Empresa de pequeno porte,6186619834.75,7864317599.741728
4,2018-12,Comércio exterior,Microempresa,1802555211.05,2291375104.56702
5,2018-12,Comércio exterior,Empresa de pequeno porte,1257947808.39,1599080168.7069855
6,2018-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,2083182806.69,2648103754.1873727
7,2018-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,8472838574.27,10770516905.714283
8,2018-12,Habitacional,Microempresa,1272919892.71,1618112407.5333025
9,2018-12,Habitacional,Empresa de pequeno porte,1381238950.48,1755805605.9456592
10,2018-12,Investimento,Microempresa,3289199384.27,4181169895.3083496
11,2018-12,Investimento,Empresa de pequeno porte,5054569126.38,6425275514.17061
12,2018-12,Operações com recebíveis,Microempresa,5530039199.99,7029684346.12088
13,2018-12,Operações com recebíveis,Empresa de pequeno porte,8156481380.81,10368369447.039392
14,2018-12,Outros créditos,Microempresa,3476483714.87,4419242299.405399
15,2018-12,Outros créditos,Empresa de pequeno porte,6866453656.57,8728509878.020737
16,2018-12,Rural e agroindustrial,Microempresa,241227849.73,306644415.66679084
17,2018-12,Rural e agroindustrial,Empresa de pequeno porte,1259268086.59,1600758482.1256464
0,2019-12,Capital de giro,Microempresa,7601754417.34,9356784768.84054
1,2019-12,Capital de giro,Empresa de pequeno porte,26220648288.54,32274255266.087032
2,2019-12,Cheque especial e conta garantida,Microempresa,1950413014.84,2400708282.363738
3,2019-12,Cheque especial e conta garantida,Empresa de pequeno porte,7336967211.28,9030865676.927414
4,2019-12,Comércio exterior,Microempresa,1111495858.8,1368108853.730682
5,2019-12,Comércio exterior,Empresa de pequeno porte,2464467067.69,3033442894.402245
6,2019-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,2141354240.03,2635732442.513693
7,2019-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,5752759831.56,7080909565.817505
8,2019-12,Habitacional,Microempresa,611731386.47,752962882.6850584
9,2019-12,Habitacional,Empresa de pequeno porte,1044023156.85,1285058610.9501226
10,2019-12,Investimento,Microempresa,3702753770.92,4557615016.802185
11,2019-12,Investimento,Empresa de pequeno porte,7476360980.51,9202441529.710478
12,2019-12,Operações com recebíveis,Microempresa,8753877181.45,10774900132.639822
13,2019-12,Operações com recebíveis,Empresa de pequeno porte,10634626380.07,13089861191.565277
14,2019-12,Outros créditos,Microempresa,3694941705.78,4547999366.505932
15,2019-12,Outros créditos,Empresa de pequeno porte,8105884902.78,9977304742.086895
16,2019-12,Rural e agroindustrial,Microempresa,432944793.46999997,532899515.9391668
17,2019-12,Rural e agroindustrial,Empresa de pequeno porte,1233651546.4099998,1518466838.8096635
0,2020-12,Capital de giro,Microempresa,12973545496.65,15308775173.40806
1,2020-12,Capital de giro,Empresa de pequeno porte,48258808126.63,56945361924.231384
2,2020-12,Cheque especial e conta garantida,Microempresa,1343997165.8700001,1585915773.8579843
3,2020-12,Cheque especial e conta garantida,Empresa de pequeno porte,6154778504.24,7262634596.522958
4,2020-12,Comércio exterior,Microempresa,1270972593.44,1499746826.3059225
5,2020-12,Comércio exterior,Empresa de pequeno porte,2591504547.63,3057973665.7782907
6,2020-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,2380436997.57,2808914095.200229
7,2020-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,8374442271.24,9881836385.142525
8,2020-12,Habitacional,Microempresa,760302996.46,897157036.9472309
9,2020-12,Habitacional,Empresa de pequeno porte,1176685590.68,1388488224.9158814
10,2020-12,Investimento,Microempresa,4501925433.7,5312269057.8112955
11,2020-12,Investimento,Empresa de pequeno porte,13119486105.42,15480984995.997202
12,2020-12,Operações com recebíveis,Microempresa,13465960423.03,15889824463.43662
13,2020-12,Operações com recebíveis,Empresa de pequeno porte,11615037550.26,13705736688.057777
14,2020-12,Outros créditos,Microempresa,5553101265.76,6552655849.909261
15,2020-12,Outros créditos,Empresa de pequeno porte,13672181479.35,16133165174.581528
16,2020-12,Rural e agroindustrial,Microempresa,595918477.7900001,703183412.7781292
17,2020-12,Rural e agroindustrial,Empresa de pequeno porte,1194758260.43,1409813963.3624334
0,2021-12,Capital de giro,Microempresa,14688010212.92,15651144156.361376
1,2021-12,Capital de giro,Empresa de pequeno porte,59185199630.09,63066138837.427414
2,2021-12,Cheque especial e conta garantida,Microempresa,1947950979.33,2075683577.629958
3,2021-12,Cheque especial e conta garantida,Empresa de pequeno porte,9950926944.08,10603437077.82966
4,2021-12,Comércio exterior,Microempresa,813943708.73,867316276.0528938
5,2021-12,Comércio exterior,Empresa de pequeno porte,3490697462.06,3719592265.5942
6,2021-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,2965896084.81,3160378193.045987
7,2021-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,7111999984.39,7578353730.842005
8,2021-12,Habitacional,Microempresa,993252966.95,1058383344.2458924
9,2021-12,Habitacional,Empresa de pequeno porte,735164096.57,783370864.2084886
10,2021-12,Investimento,Microempresa,5518314905.32,5880166260.191544
11,2021-12,Investimento,Empresa de pequeno porte,17095350279.43,18216340249.511574
12,2021-12,Operações com recebíveis,Microempresa,10169740878.5,10836599254.420168
13,2021-12,Operações com recebíveis,Empresa de pequeno porte,13434042594.4,14314950371.065525
14,2021-12,Outros créditos,Microempresa,6494038490.04,6919870771.54744
15,2021-12,Outros créditos,Empresa de pequeno porte,15415217529.67,16426036492.424934
16,2021-12,Rural e agroindustrial,Microempresa,301463877.61,321231707.9041434
17,2021-12,Rural e agroindustrial,Empresa de pequeno porte,1256658784.48,1339061418.540795
0,2022-12,Capital de giro,Microempresa,18648620562.61,18764236097.446114
1,2022-12,Capital de giro,Empresa de pequeno porte,72367800147.88,72816457564.1709
2,2022-12,Cheque especial e conta garantida,Microempresa,2156914694.27,2170286881.5123034
3,2022-12,Cheque especial e conta garantida,Empresa de pequeno porte,11310511596.93,11380633182.768415
4,2022-12,Comércio exterior,Microempresa,4530517008.38,4558604777.405563
5,2022-12,Comércio exterior,Empresa de pequeno porte,4465447563.900001,4493131923.000428
6,2022-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,3579023394.03,3601212204.323099
7,2022-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,6102861906.5,6140697715.372942
8,2022-12,Habitacional,Microempresa,2412897269.3,2427856467.346747
9,2022-12,Habitacional,Empresa de pequeno porte,999053471.63,1005247286.3984748
10,2022-12,Investimento,Microempresa,7330748120.74,7376196434.832866
11,2022-12,Investimento,Empresa de pequeno porte,22742806626.49,22883804816.837006
12,2022-12,Operações com recebíveis,Microempresa,17230748304.420002,17337573480.799866
13,2022-12,Operações com recebíveis,Empresa de pequeno porte,13998496506.09,14085282746.124182
14,2022-12,Outros créditos,Microempresa,7876630592.75,7925463205.09416
15,2022-12,Outros créditos,Empresa de pequeno porte,19239640128.94,19358919797.701214
16,2022-12,Rural e agroindustrial,Microempresa,601416835.68,605145429.37856
17,2022-12,Rural e agroindustrial,Empresa de pequeno porte,1284037259.76,1291997883.6591368
